,Product Manager,Database Administrator,Data Engineer,Data Scientist,Data Analyst,Business Analyst,Data Architect
157,0.015,0.025,0.075,0.71,0.06,0.105,0.01
158,0.64,0.0,0.05,0.16,0.045,0.065,0.04
159,0.0,0.03,0.005,0.67,0.23,0.055,0.01
160,0.045,0.11,0.1125,0.145,0.23,0.24,0.1175
161,0.0,0.0,0.05,0.89,0.025,0.02,0.015
162,0.02,0.01,0.0,0.915,0.03,0.025,0.0
163,0.085,0.015,0.055,0.67,0.025,0.085,0.065
164,0.04,0.02,0.01,0.83,0.055,0.035,0.01
165,0.045,0.03,0.765,0.025,0.03,0.07,0.035
166,0.01,0.03,0.005,0.19,0.71,0.04,0.015
167,0.025,0.14,0.015,0.04,0.705,0.03,0.045
168,0.01,0.015,0.015,0.21,0.715,0.02,0.015
169,0.025,0.025,0.05,0.04,0.75,0.08,0.03
170,0.075,0.065,0.035,0.09,0.37,0.325,0.04
171,0.025,0.03,0.025,0.065,0.72,0.1,0.035
172,0.03,0.03,0.035,0.11166666666666666,0.645,0.12,0.028333333333333335
173,0.01,0.22,0.025,0.01,0.02,0.07,0.645
174,0.005,0.2,0.03,0.015,0.025,0.015,0.71
175,0.0,0.06,0.035,0.005,0.005,0.01,0.885
176,0.085,0.15,0.095,0.08,0.18,0.27,0.14
177,0.0,0.06,0.035,0.005,0.005,0.01,0.885
178,0.125,0.015,0.045,0.01,0.08,0.065,0.66
179,0.02,0.175,0.01,0.01,0.06,0.04,0.685
180,0.0,0.61,0.055,0.045,0.055,0.12,0.115
181,0.925,0.005,0.02,0.005,0.01,0.035,0.0
182,0.86,0.0,0.015,0.06,0.02,0.035,0.01
183,0.665,0.005,0.04,0.05,0.07,0.16,0.01
184,0.96,0.0,0.005,0.0,0.005,0.025,0.005
185,0.075,0.055,0.19375,0.08791666666666668,0.09,0.38,0.11833333333333335
186,0.675,0.025,0.065,0.065,0.045,0.105,0.02
187,0.6,0.01,0.005,0.075,0.215,0.085,0.01
188,0.005,0.815,0.005,0.0,0.015,0.14,0.02
189,0.03,0.7,0.025,0.015,0.11875,0.08625,0.025
190,0.0,0.94,0.01,0.005,0.01,0.005,0.03
191,0.09,0.01,0.04625,0.7,0.065,0.085,0.00375
192,0.05,0.34,0.1015,0.2585,0.145,0.06,0.045
193,0.07,0.005,0.025,0.71,0.10875,0.07125,0.01
194,0.12,0.0,0.02,0.71,0.08,0.065,0.005
195,0.015,0.01,0.4458928571428571,0.49410714285714286,0.025,0.01,0.0
196,0.005,0.09,0.05,0.7449999999999999,0.08,0.02,0.01
197,0.0,0.005,0.01,0.865,0.065,0.01,0.045
198,0.02,0.04,0.015,0.71,0.04,0.14,0.035
199,0.17,0.01,0.04,0.71,0.02,0.03,0.02
200,0.025,0.005,0.015,0.89,0.05,0.015,0.0
201,0.055,0.005,0.0325,0.665,0.09,0.075,0.0775
202,0.01,0.0525,0.04,0.26,0.195,0.3775,0.065
203,0.02,0.01,0.015,0.765,0.05,0.115,0.025
204,0.005,0.02,0.0175,0.7,0.135,0.1,0.0225
205,0.125,0.095,0.04,0.11,0.225,0.37,0.035
206,0.005,0.015,0.005,0.84,0.1,0.025,0.01
207,0.0,0.185,0.69,0.005,0.04,0.04,0.04
208,0.09,0.015,0.73,0.015,0.06,0.07,0.02
209,0.25,0.035,0.3375,0.065,0.09,0.145,0.0775
